Archivo,N,Epsilon,TipoExperimento,Parametro,Estimado,Exacto,ErrorAbs,ErrorRel
Uniform.txt,5000000,0.050,Quantile,0.540,521169,539980,18811,0.035
Uniform.txt,5000000,0.050,Quantile,0.560,540136,559929,19793,0.035
Uniform.txt,5000000,0.050,Quantile,0.580,560530,579909,19379,0.033
Uniform.txt,5000000,0.050,Quantile,0.600,580147,600058,19911,0.033
Uniform.txt,5000000,0.050,Quantile,0.620,600648,619931,19283,0.031
Uniform.txt,5000000,0.050,Quantile,0.640,620425,639936,19511,0.030
Uniform.txt,5000000,0.050,Quantile,0.660,641003,659921,18918,0.029
Uniform.txt,5000000,0.050,Quantile,0.680,660295,679857,19562,0.029
Uniform.txt,5000000,0.050,Quantile,0.700,681143,699934,18791,0.027
Uniform.txt,5000000,0.050,Quantile,0.720,701374,719910,18536,0.026
Uniform.txt,5000000,0.050,Quantile,0.740,721437,739946,18509,0.025
Uniform.txt,5000000,0.050,Quantile,0.760,741823,759895,18072,0.024
Uniform.txt,5000000,0.050,Quantile,0.780,761193,779832,18639,0.024
Uniform.txt,5000000,0.050,Quantile,0.800,781642,799788,18146,0.023
Uniform.txt,5000000,0.050,Quantile,0.820,801193,819885,18692,0.023
Uniform.txt,5000000,0.050,Quantile,0.840,820960,840016,19056,0.023
Uniform.txt,5000000,0.050,Quantile,0.860,841069,860005,18936,0.022
Uniform.txt,5000000,0.050,Quantile,0.880,862073,880054,17981,0.020
Uniform.txt,5000000,0.050,Quantile,0.900,882157,900039,17882,0.020
Uniform.txt,5000000,0.050,Quantile,0.920,903324,919977,16653,0.018
Uniform.txt,5000000,0.050,Quantile,0.940,922690,939885,17195,0.018
Uniform.txt,5000000,0.050,Quantile,0.960,944252,959993,15741,0.016
Uniform.txt,5000000,0.050,Quantile,0.980,963971,980083,16112,0.016
Uniform.txt,5000000,0.050,Rank,1,0,0,0,-1.00
Uniform.txt,5000000,0.05,Rank,20095,171264,99997,71267,0.71
Uniform.txt,5000000,0.05,Rank,39991,279936,199994,79942,0.40
Uniform.txt,5000000,0.05,Rank,60046,385600,299994,85606,0.29
Uniform.txt,5000000,0.05,Rank,80104,480000,399996,80004,0.20
Uniform.txt,5000000,0.05,Rank,100036,592768,499997,92771,0.19
Uniform.txt,5000000,0.05,Rank,120026,684096,599999,84097,0.14
Uniform.txt,5000000,0.05,Rank,140113,794816,699995,94821,0.14
Uniform.txt,5000000,0.05,Rank,160193,885056,799994,85062,0.11
Uniform.txt,5000000,0.05,Rank,180127,997888,900000,97888,0.11
Uniform.txt,5000000,0.05,Rank,199955,1088192,999995,88197,0.09
Uniform.txt,5000000,0.05,Rank,220123,1196864,1099997,96867,0.09
Uniform.txt,5000000,0.05,Rank,240127,1291264,1200000,91264,0.08
Uniform.txt,5000000,0.05,Rank,260140,1397888,1299999,97889,0.08
Uniform.txt,5000000,0.05,Rank,280120,1491264,1399994,91270,0.07
Uniform.txt,5000000,0.05,Rank,300096,1598912,1500000,98912,0.07
Uniform.txt,5000000,0.05,Rank,320070,1693312,1599999,93313,0.06
Uniform.txt,5000000,0.05,Rank,340011,1797888,1700000,97888,0.06
Uniform.txt,5000000,0.05,Rank,359991,1891264,1799993,91271,0.05
Uniform.txt,5000000,0.05,Rank,380038,1998912,1899995,98917,0.05
Uniform.txt,5000000,0.05,Rank,400065,2090240,1999996,90244,0.05
Uniform.txt,5000000,0.05,Rank,420041,2198976,2099995,98981,0.05
Uniform.txt,5000000,0.05,Rank,440016,2291328,2200000,91328,0.04
Uniform.txt,5000000,0.05,Rank,459957,2396928,2299999,96929,0.04
Uniform.txt,5000000,0.05,Rank,479948,2493312,2399997,93315,0.04
Uniform.txt,5000000,0.05,Rank,499897,2600000,2499991,100009,0.04
Uniform.txt,5000000,0.05,Rank,519901,2690240,2599997,90243,0.03
Uniform.txt,5000000,0.05,Rank,539980,2798912,2700000,98912,0.04
Uniform.txt,5000000,0.05,Rank,559929,2895360,2800000,95360,0.03
Uniform.txt,5000000,0.05,Rank,579909,2994880,2900000,94880,0.03
Uniform.txt,5000000,0.05,Rank,600058,3097408,3000000,97408,0.03
Uniform.txt,5000000,0.05,Rank,619931,3198912,3099999,98913,0.03
Uniform.txt,5000000,0.05,Rank,639936,3296384,3199995,96389,0.03
Uniform.txt,5000000,0.05,Rank,659921,3395840,3299997,95843,0.03
Uniform.txt,5000000,0.05,Rank,679857,3491200,3399996,91204,0.03
Uniform.txt,5000000,0.05,Rank,699934,3597888,3499997,97891,0.03
Uniform.txt,5000000,0.05,Rank,719910,3690176,3599999,90177,0.03
Uniform.txt,5000000,0.05,Rank,739946,3796864,3699995,96869,0.03
Uniform.txt,5000000,0.05,Rank,759895,3890176,3799996,90180,0.02
Uniform.txt,5000000,0.05,Rank,779832,3996864,3899997,96867,0.02
Uniform.txt,5000000,0.05,Rank,799788,4089216,3999999,89217,0.02
Uniform.txt,5000000,0.05,Rank,819885,4195840,4099996,95844,0.02
Uniform.txt,5000000,0.05,Rank,840016,4289152,4200000,89152,0.02
Uniform.txt,5000000,0.05,Rank,860005,4395840,4299998,95842,0.02
Uniform.txt,5000000,0.05,Rank,880054,4481984,4400000,81984,0.02
Uniform.txt,5000000,0.05,Rank,900039,4590720,4499996,90724,0.02
Uniform.txt,5000000,0.05,Rank,919977,4681024,4599999,81025,0.02
Uniform.txt,5000000,0.05,Rank,939885,4790720,4699998,90722,0.02
Uniform.txt,5000000,0.05,Rank,959993,4880000,4799998,80002,0.02
Uniform.txt,5000000,0.05,Rank,980083,4962048,4899999,62049,0.01
